           Time[sec]           V_{cmd}[V]          V_{gyro}[V] \omega_{gyro}[rad/s]          \theta[rad] 
        0.1250000000         0.3275508700         1.3328994052         3.1161236951        -2.1628942028 
        0.1300000000         0.3395376889         1.3456441627         3.4481206794        -2.1308674468 
        0.1350001000         0.3513959312         1.3481931142         3.5145200763        -2.1244620955 
        0.1400001000         0.3631206242         1.3507420656         3.5809194732        -2.1116513931 
        0.1450000000         0.3747073277         1.3685847260         4.0457152513        -2.0860299883 
        0.1500000000         0.3861521094         1.3685847260         4.0457152513        -2.0572059079 
        0.1550000000         0.3974503945         1.3762315805         4.2449134419        -2.0475978811 
        0.1600000000         0.4085978967         1.3762315805         4.2449134419        -2.0187738006 
        0.1650001000         0.4195906049         1.4068189983         5.0417062043        -1.9995577470 
        0.1700001000         0.4304239094         1.3787805320         4.3113128387        -1.9771390178 
        0.1750000000         0.4410937098         1.4144658528         5.2409043949        -1.9643283154 
        0.1800001000         0.4515965934         1.3889763379         4.5769104262        -1.9419095861 
        0.1850000000         0.4619277357         1.4068189983         5.0417062043        -1.9258962081 
        0.1900000000         0.4720838422         1.4042700468         4.9753068074        -1.8810587497 
        0.1950000000         0.4820608516         1.4221127072         5.4401025855        -1.8682480472 
        0.2000001000         0.4918551729         1.4170148043         5.3073037918        -1.8426266424 
        0.2050000000         0.5014625084         1.4425043191         5.9712977605        -1.8138025620 
        0.2100001000         0.5108799816         1.4272106102         5.5729013792        -1.7849784815 
        0.2150000000         0.5201032668         1.4501511736         6.1704959511        -1.7529517255 
        0.2200000000         0.5291294238         1.4527001251         6.2368953479        -1.7273303207 
        0.2250000000         0.5379548421         1.4577980281         6.3696941417        -1.6953035646 
        0.2300001000         0.5465763437         1.4501511736         6.1704959511        -1.6664794842 
        0.2350000000         0.5549901470         1.4730917370         6.7680905229        -1.6440607550 
        0.2400001000         0.5631937329         1.4679938340         6.6352917292        -1.6088313233 
        0.2450000000         0.5711833330         1.4909343974         7.2328863010        -1.5639938649 
        0.2500000000         0.5789564020         1.4858364944         7.1000875072        -1.5383724600 
        0.2550000000         0.5865098291         1.4960323003         7.3656850947        -1.4967376772 
        0.2600001000         0.5938408930         1.5062281063         7.6312826822        -1.4647109212 
        0.2650001000         0.6009465193         1.5164239122         7.8968802697        -1.4134681115 
        0.2700000000         0.6078240260         1.5164239122         7.8968802697        -1.3942520579 
        0.2750000000         0.6144710789         1.5266197182         8.1624778572        -1.3430092482 
        0.2800000000         0.6208850164         1.5266197182         8.1624778572        -1.2981717898 
        0.2850000000         0.6270634053         1.5368155241         8.4280754446        -1.2757530605 
        0.2900001000         0.6330040181         1.5444623786         8.6272736352        -1.2245102509 
        0.2950001000         0.6387043634         1.5444623786         8.6272736352        -1.1828754680 
        0.3000000000         0.6441622932         1.5368155241         8.4280754446        -1.1476460364 
        0.3050000000         0.6493759550         1.5623050390         9.0920694133        -1.1060112535 
        0.3100000000         0.6543432595         1.5597560875         9.0256700165        -1.0579711195 
        0.3150000000         0.6590623221         1.5877945538         9.7560633820        -1.0035256342 
        0.3200000000         0.6635313526         1.5648539905         9.1584688102        -0.9682962026 
        0.3250001000         0.6677487372         1.5826966509         9.6232645883        -0.9138507173 
        0.3300000000         0.6717126307         1.5852456023         9.6896639851        -0.8786212857 
        0.3350000000         0.6754217746         1.5775987479         9.4904657945        -0.8273784760 
