           Time[sec]  \omega_{cmd}[rad/s]          V_{gyro}[V] \omega_{gyro}[rad/s]          \theta[rad] 
        1.6800615000        -2.1934277153         1.2258434428         0.3385041252         1.6034523073 
        1.6850000000        -2.9683496819         1.1978049765        -0.3918892403         1.5842362537 
        1.6900000000        -3.7212086246         1.2105497339        -0.0598922560         1.5842362537 
        1.6950000000        -4.4341078299         1.2130986854         0.0065071409         1.5938442805 
        1.7000000000        -5.0993919180         1.2054518309        -0.1926910497         1.5842362537 
        1.7050000000        -5.7099168182         1.2207455399         0.2057053315         1.5970469561 
        1.7100000000        -6.2591264846         1.1952560250        -0.4582886372         1.5874389293 
        1.7150000000        -6.7411232973         1.0780042567        -3.5126608932         1.5682228757 
        1.7200000000        -7.1507313932         1.1672175587        -1.1886820028         1.5682228757 
        1.7250000000        -7.4835522466         1.1162385289        -2.5166699401         1.5650202001 
        1.7300000000        -7.7360119021         1.1264343349        -2.2510723527         1.5361961196 
        1.7350000000        -7.9053993529         1.1136895775        -2.5830693370         1.5233854172 
        1.7400000000        -7.9898956528         1.1136895775        -2.5830693370         1.5329934440 
        1.7450000000        -7.9885934490         1.1213364319        -2.3838711464         1.5169800660 
        1.7500000000        -7.9015067248         1.1289832864        -2.1846729558         1.5073720392 
        1.7550000000        -7.7295706503         1.1009448200        -2.9150663214         1.4785479588 
        1.7600001000        -7.4746256275         1.0983958685        -2.9814657182         1.4721426075 
        1.7650017000        -7.1392997901         1.1187874804        -2.4502705433         1.4593319051 
        1.7700047000        -6.7271347597         1.0805532081        -3.4462614963         1.4497238783 
        1.7750000000        -6.2434432587         1.1136895775        -2.5830693370         1.4401158515 
        1.7800001000        -5.6922737622         1.0932979656        -3.1142645120         1.4176971223 
